SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,Languages
1110.0,Vesti FM,,,DVB-S2,1000,3/4,3640 R,tp 3,0,,,Vesti FM,https://www.lyngsat.com/radiochannels/ru/Vesti-FM.html,False,RTRS 1,Rus
1110.0,Vesti FM,,,DVB-S2,1000,3/4,3640 R,tp 3,0,,,Vesti FM,https://www.lyngsat.com/radiochannels/ru/Vesti-FM.html,False,RTRS 1,Rus
1110.0,Vesti FM,,,DVB-S2,1000,3/4,3640 R,tp 3,0,,,Vesti FM,https://www.lyngsat.com/radiochannels/ru/Vesti-FM.html,False,RTRS 1,Rus
1110.0,Vesti FM,,,DVB-S2,17500,3/4,3705 L,tp 4A,0,,,Vesti FM,https://www.lyngsat.com/radiochannels/ru/Vesti-FM.html,False,RTRS 1,Rus
1110.0,Vesti FM,,,DVB-S2,17500,3/4,3705 L,tp 4A,0,,,Vesti FM,https://www.lyngsat.com/radiochannels/ru/Vesti-FM.html,False,RTRS 1,Rus
1110.0,Vesti FM,,,DVB-S2,17500,3/4,3705 L,tp 4A,0,,,Vesti FM,https://www.lyngsat.com/radiochannels/ru/Vesti-FM.html,False,RTRS 1,Rus
1110.0,Vesti FM,,,DVB-S2,17500,3/4,3705 L,tp 4A,0,,,Vesti FM,https://www.lyngsat.com/radiochannels/ru/Vesti-FM.html,False,RTRS 1,Rus
1110.0,Vesti FM,,,DVB-S2,17500,3/4,3705 L,tp 4A,0,,,Vesti FM,https://www.lyngsat.com/radiochannels/ru/Vesti-FM.html,False,RTRS 1,Rus
1110.0,Vesti FM,,,DVB-S2,17500,3/4,3705 L,tp 4A,0,,,Vesti FM,https://www.lyngsat.com/radiochannels/ru/Vesti-FM.html,False,RTRS 1,Rus
1110.0,Vesti FM,,,DVB-S2,17500,3/4,3705 L,tp 4A,0,,,Vesti FM,https://www.lyngsat.com/radiochannels/ru/Vesti-FM.html,False,RTRS 1,Rus
1110.0,Vesti FM,,,DVB-S2,17500,3/4,3705 L,tp 4A,0,,,Vesti FM,https://www.lyngsat.com/radiochannels/ru/Vesti-FM.html,False,RTRS 1,Rus
1110.0,Vesti FM,,,DVB-S2,17500,3/4,3786 R,tp 5,0,,,Vesti FM,https://www.lyngsat.com/radiochannels/ru/Vesti-FM.html,False,RTRS 1,Rus
1110.0,Vesti FM,,,DVB-S2,17500,3/4,3786 R,tp 5,0,,,Vesti FM,https://www.lyngsat.com/radiochannels/ru/Vesti-FM.html,False,RTRS 1,Rus
1110.0,Vesti FM,,,DVB-S2,17500,3/4,3786 R,tp 5,0,,,Vesti FM,https://www.lyngsat.com/radiochannels/ru/Vesti-FM.html,False,RTRS 1,Rus
1110.0,Vesti FM,,,DVB-S2,17500,3/4,3786 R,tp 5,0,,,Vesti FM,https://www.lyngsat.com/radiochannels/ru/Vesti-FM.html,False,RTRS 1,Rus
1110.0,Vesti FM,,,DVB-S2,17500,3/4,3786 R,tp 5,0,,,Vesti FM,https://www.lyngsat.com/radiochannels/ru/Vesti-FM.html,False,RTRS 1,Rus
1110.0,Vesti FM,,,DVB-S2,17500,3/4,3786 R,tp 5,0,,,Vesti FM,https://www.lyngsat.com/radiochannels/ru/Vesti-FM.html,False,RTRS 1,Rus
