Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL
11590 VArgentina0,DVB-S28PSK300005/6,127,TV Pública Fueguina,,MPEG-4/SD,2061,2062 Spa,,,DVB-S2,30000,5/6,11590 V,,0,,,TV Pública Fueguina,https://www.lyngsat.com/tvchannels/ar/TV-Publica-Fueguina.html,,
11590 VArgentina0,DVB-S28PSK300005/6,127,TV Pública Fueguina,,MPEG-4/SD,2061,2062 Spa,,,DVB-S2,30000,5/6,11590 V,,0,,,TV Pública Fueguina,https://www.lyngsat.com/tvchannels/ar/TV-Publica-Fueguina.html,,
12136 VArgentina0,DVB-S23750,1,TV Pública Fueguina,,?-?/HD,544,800 Spa,,C de Berazategui211116,DVB-S2,4800,3/4,12136 V,,0,,,TV Pública Fueguina,https://www.lyngsat.com/tvchannels/ar/TV-Publica-Fueguina.html,,
12136 VArgentina0,DVB-S23750,1,TV Pública Fueguina,,?-?/HD,544,800 Spa,,C de Berazategui211116,DVB-S2,4800,3/4,12136 V,,0,,,TV Pública Fueguina,https://www.lyngsat.com/tvchannels/ar/TV-Publica-Fueguina.html,,
11590 VArgentina0,DVB-S28PSK300005/6,128,El Destape TV,,MPEG-4/HD,2071,2072 Spa,,,DVB-S2,30000,5/6,11590 V,,0,,,El Destape TV,https://www.lyngsat.com/tvchannels/ar/El-Destape-TV.html,,
11590 VArgentina0,DVB-S28PSK300005/6,128,El Destape TV,,MPEG-4/HD,2071,2072 Spa,,,DVB-S2,30000,5/6,11590 V,,0,,,El Destape TV,https://www.lyngsat.com/tvchannels/ar/El-Destape-TV.html,,
11590 VArgentina0,DVB-S28PSK300005/6,128,El Destape TV,,MPEG-4/HD,2071,2072 Spa,,,DVB-S2,30000,5/6,11590 V,,0,,,El Destape TV,https://www.lyngsat.com/tvchannels/ar/El-Destape-TV.html,,
11590 VArgentina0,DVB-S28PSK300005/6,128,El Destape TV,,MPEG-4/HD,2071,2072 Spa,,,DVB-S2,30000,5/6,11590 V,,0,,,El Destape TV,https://www.lyngsat.com/tvchannels/ar/El-Destape-TV.html,,
11670 VArgentina0,DVB-S28PSK300005/6,8,El Destape TV,,MPEG-4/HD,384,57 Spa,,,DVB-S2,30000,5/6,11670 V,,0,,,El Destape TV,https://www.lyngsat.com/tvchannels/ar/El-Destape-TV.html,,
11670 VArgentina0,DVB-S28PSK300005/6,8,El Destape TV,,MPEG-4/HD,384,57 Spa,,,DVB-S2,30000,5/6,11670 V,,0,,,El Destape TV,https://www.lyngsat.com/tvchannels/ar/El-Destape-TV.html,,
11670 VArgentina0,DVB-S28PSK300005/6,8,El Destape TV,,MPEG-4/HD,384,57 Spa,,,DVB-S2,30000,5/6,11670 V,,0,,,El Destape TV,https://www.lyngsat.com/tvchannels/ar/El-Destape-TV.html,,
11670 VArgentina0,DVB-S28PSK300005/6,8,El Destape TV,,MPEG-4/HD,384,57 Spa,,,DVB-S2,30000,5/6,11670 V,,0,,,El Destape TV,https://www.lyngsat.com/tvchannels/ar/El-Destape-TV.html,,
11590 VArgentina0,DVB-S28PSK300005/6,129,Extra!,,MPEG-4/HD,2081,2082 Spa,,,DVB-S2,30000,5/6,11590 V,,0,,,Extra!,https://www.lyngsat.com/tvchannels/ar/Extra.html,,
11590 VArgentina0,DVB-S28PSK300005/6,126,LU14 Radio Provincia,,,,2052 Spa,,,DVB-S2,30000,5/6,11590 V,,0,,,LU14 Radio Provincia,https://www.lyngsat.com/radiochannels/ar/LU14-Radio-Provincia.html,,
