Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
11140 VMyanmar,DVB-S2QPSK300003/4,58,Education Channel,,MPEG-4/SD,107,207 Bur,,,DVB-S2,30000,3/4,11140 V,,,,,Education Channel,https://www.lyngsat.com/tvchannels/mm/Education-Channel.html
4049 LMyanmar,DVB-S28PSK150003/4,59,M Entertainment,,MPEG-4/SD,108,208 Bur,,,DVB-S2,15000,3/4,4049 L,,,,,M Entertainment,https://www.lyngsat.com/tvchannels/mm/M-Entertainment.html
4049 LMyanmar,DVB-S28PSK150003/4,59,M Entertainment,,MPEG-4/SD,108,208 Bur,,,DVB-S2,15000,3/4,4049 L,,,,,M Entertainment,https://www.lyngsat.com/tvchannels/mm/M-Entertainment.html
11140 VMyanmar,DVB-S2QPSK300003/4,59,M Entertainment,,MPEG-4/HD,108,208 Bur,,,DVB-S2,30000,3/4,11140 V,,,,,M Entertainment,https://www.lyngsat.com/tvchannels/mm/M-Entertainment.html
11140 VMyanmar,DVB-S2QPSK300003/4,59,M Entertainment,,MPEG-4/HD,108,208 Bur,,,DVB-S2,30000,3/4,11140 V,,,,,M Entertainment,https://www.lyngsat.com/tvchannels/mm/M-Entertainment.html
4049 LMyanmar,DVB-S28PSK150003/4,60,MRTV 4,,MPEG-4/SD,109,209 Bur,,,DVB-S2,15000,3/4,4049 L,,,,,MRTV 4,https://www.lyngsat.com/tvchannels/mm/MRTV-4.html
4049 LMyanmar,DVB-S28PSK150003/4,60,MRTV 4,,MPEG-4/SD,109,209 Bur,,,DVB-S2,15000,3/4,4049 L,,,,,MRTV 4,https://www.lyngsat.com/tvchannels/mm/MRTV-4.html
4049 LMyanmar,DVB-S28PSK150003/4,60,MRTV 4,,MPEG-4/SD,109,209 Bur,,,DVB-S2,15000,3/4,4049 L,,,,,MRTV 4,https://www.lyngsat.com/tvchannels/mm/MRTV-4.html
4049 LMyanmar,DVB-S28PSK150003/4,60,MRTV 4,,MPEG-4/SD,109,209 Bur,,,DVB-S2,15000,3/4,4049 L,,,,,MRTV 4,https://www.lyngsat.com/tvchannels/mm/MRTV-4.html
11140 VMyanmar,DVB-S2QPSK300003/4,60,MRTV 4,,MPEG-4/HD,109,209 Bur,,,DVB-S2,30000,3/4,11140 V,,,,,MRTV 4,https://www.lyngsat.com/tvchannels/mm/MRTV-4.html
11140 VMyanmar,DVB-S2QPSK300003/4,60,MRTV 4,,MPEG-4/HD,109,209 Bur,,,DVB-S2,30000,3/4,11140 V,,,,,MRTV 4,https://www.lyngsat.com/tvchannels/mm/MRTV-4.html
11140 VMyanmar,DVB-S2QPSK300003/4,60,MRTV 4,,MPEG-4/HD,109,209 Bur,,,DVB-S2,30000,3/4,11140 V,,,,,MRTV 4,https://www.lyngsat.com/tvchannels/mm/MRTV-4.html
11140 VMyanmar,DVB-S2QPSK300003/4,60,MRTV 4,,MPEG-4/HD,109,209 Bur,,,DVB-S2,30000,3/4,11140 V,,,,,MRTV 4,https://www.lyngsat.com/tvchannels/mm/MRTV-4.html
4049 LMyanmar,DVB-S28PSK150003/4,61,Channel 7 (Myanmar),,MPEG-4/SD,110,210 Bur,,,DVB-S2,15000,3/4,4049 L,,,,,Channel 7 (Myanmar),https://www.lyngsat.com/tvchannels/mm/Channel-7.html
4049 LMyanmar,DVB-S28PSK150003/4,61,Channel 7 (Myanmar),,MPEG-4/SD,110,210 Bur,,,DVB-S2,15000,3/4,4049 L,,,,,Channel 7 (Myanmar),https://www.lyngsat.com/tvchannels/mm/Channel-7.html
4049 LMyanmar,DVB-S28PSK150003/4,61,Channel 7 (Myanmar),,MPEG-4/SD,110,210 Bur,,,DVB-S2,15000,3/4,4049 L,,,,,Channel 7 (Myanmar),https://www.lyngsat.com/tvchannels/mm/Channel-7.html
4049 LMyanmar,DVB-S28PSK150003/4,61,Channel 7 (Myanmar),,MPEG-4/SD,110,210 Bur,,,DVB-S2,15000,3/4,4049 L,,,,,Channel 7 (Myanmar),https://www.lyngsat.com/tvchannels/mm/Channel-7.html
11140 VMyanmar,DVB-S2QPSK300003/4,61,Channel 7 (Myanmar),,MPEG-4/HD,110,210 Bur,,,DVB-S2,30000,3/4,11140 V,,,,,Channel 7 (Myanmar),https://www.lyngsat.com/tvchannels/mm/Channel-7.html
11140 VMyanmar,DVB-S2QPSK300003/4,61,Channel 7 (Myanmar),,MPEG-4/HD,110,210 Bur,,,DVB-S2,30000,3/4,11140 V,,,,,Channel 7 (Myanmar),https://www.lyngsat.com/tvchannels/mm/Channel-7.html
11140 VMyanmar,DVB-S2QPSK300003/4,61,Channel 7 (Myanmar),,MPEG-4/HD,110,210 Bur,,,DVB-S2,30000,3/4,11140 V,,,,,Channel 7 (Myanmar),https://www.lyngsat.com/tvchannels/mm/Channel-7.html
11140 VMyanmar,DVB-S2QPSK300003/4,61,Channel 7 (Myanmar),,MPEG-4/HD,110,210 Bur,,,DVB-S2,30000,3/4,11140 V,,,,,Channel 7 (Myanmar),https://www.lyngsat.com/tvchannels/mm/Channel-7.html
4049 LMyanmar,DVB-S28PSK150003/4,62,5 Plus (Myanmar),,MPEG-4/SD,111,211 Bur,,,DVB-S2,15000,3/4,4049 L,,,,,5 Plus (Myanmar),https://www.lyngsat.com/tvchannels/mm/5-Plus.html
4049 LMyanmar,DVB-S28PSK150003/4,63,MN TV,,MPEG-4/SD,112,212 Bur,,,DVB-S2,15000,3/4,4049 L,,,,,MN TV,https://www.lyngsat.com/tvchannels/mm/MN-TV.html
