Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL
3800 Htp 3HSE Asia C,DVB-S28PSK300002/3,89,Star TV (Thailand),,MPEG-4/SD,891,892 Tha,,,
3800 Htp 3HSE Asia C,DVB-S28PSK300002/3,712,Banterng Thai,,MPEG-4/SD,312,412 Tha,,,
4120 Htp 11HSE Asia C,DVB-S28PSK300002/3,712,Banterng Thai,,MPEG-4/HD,312,412 Tha,,,
12343 VSE Asia Ku,DVB-S2450003/4,1007,Banterng Thai,,MPEG-4/SD,207,307 Tha,,,
3800 Htp 3HSE Asia C,DVB-S28PSK300002/3,902,TV Direct 1,,MPEG-4/HD,513,751 Tha,,,
12343 VSE Asia Ku,DVB-S2450003/4,1005,TV Direct 1,,MPEG-4/HD,205,305 Tha,,,
3800 Htp 3HSE Asia C,DVB-S28PSK300002/3,903,Zabb Channel,,MPEG-4/SD,514,752 Tha,,,
12728 VSE Asia Ku,DVB-S28PSK300003/4,21,Zabb Channel,,MPEG-4/SD,3021,4021 Tha,,,
3800 Htp 3HSE Asia C,DVB-S28PSK300002/3,904,Maya Hot News,,MPEG-4/HD,515,653 Tha,,,
12728 VSE Asia Ku,DVB-S28PSK300003/4,26,Maya Hot News,,MPEG-4/SD,3026,4026 Tha,,,
3800 Htp 3HSE Asia C,DVB-S28PSK300002/3,905,Kaset News Channel,,MPEG-4/SD,516,654 Tha,,,
12343 VSE Asia Ku,DVB-S2450003/4,1014,Kaset News Channel,,MPEG-4/SD,214,314 Tha,,,
3800 Htp 3HSE Asia C,DVB-S28PSK300002/3,907,Media TV,,MPEG-4/SD,518,656 Tha,,,
12343 VSE Asia Ku,DVB-S2450003/4,1028,Media TV,,MPEG-4/HD,228,328 Tha,,,
3800 Htp 3HSE Asia C,DVB-S28PSK300002/3,908,Topline TV,,MPEG-4/SD,519,657 Tha,,,
12343 VSE Asia Ku,DVB-S2450003/4,1008,Topline TV,,MPEG-4/SD,208,308 Tha,,,
3800 Htp 3HSE Asia C,DVB-S28PSK300002/3,909,M2 Maya Movies,,MPEG-4/SD,520,658 Tha,,,
3800 Htp 3HSE Asia C,DVB-S28PSK300002/3,921,TV Direct 7,,MPEG-4/HD,532,670 Tha,,,
12343 VSE Asia Ku,DVB-S2450003/4,1003,TV Direct 7,,MPEG-4/SD,203,303 Tha,,,
3840 Htp 4HSE Asia C,DVB-S300003/4,803,Dharma TV,,MPEG-2/SD,203,303 Tha,BISS 1,,
