Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
10845 Htp K7Africa0,DVB-S28PSK300002/3,2810,Cinema Yoruba,,MPEG-4/SD,191,192 Yor,,,10845 H,tp K7,0,,,Cinema Yoruba,https://www.lyngsat.com/tvchannels/--/Cinema-Yoruba.html
10845 Htp K7Africa0,DVB-S28PSK300002/3,2811,Romanza+ Africa,,MPEG-4/SD,201,202 Eng,,,10845 H,tp K7,0,,,Romanza+ Africa,https://www.lyngsat.com/tvchannels/mx/Romanza--Africa.html
10845 Htp K7Africa0,DVB-S28PSK300002/3,2812,Limelight,,MPEG-4/SD,211,212 Eng,,,10845 H,tp K7,0,,,Limelight,https://www.lyngsat.com/tvchannels/za/Limelight.html
10845 Htp K7Africa0,DVB-S28PSK300002/3,2812,Limelight,,MPEG-4/SD,211,212 Eng,,,10845 H,tp K7,0,,,Limelight,https://www.lyngsat.com/tvchannels/za/Limelight.html
10845 Htp K7Africa0,DVB-S28PSK300002/3,2813,Afriwood Blockbuster,,MPEG-4/SD,221,222 Eng,,,10845 H,tp K7,0,,,Afriwood Blockbuster,https://www.lyngsat.com/tvchannels/za/Afriwood-Blockbuster.html
10845 Htp K7Africa0,DVB-S28PSK300002/3,2813,Afriwood Blockbuster,,MPEG-4/SD,221,222 Eng,,,10845 H,tp K7,0,,,Afriwood Blockbuster,https://www.lyngsat.com/tvchannels/za/Afriwood-Blockbuster.html
10845 Htp K7Africa0,DVB-S28PSK300002/3,2814,Cinema Hausa,,MPEG-4/SD,231,232 Hau,,,10845 H,tp K7,0,,,Cinema Hausa,https://www.lyngsat.com/tvchannels/--/Cinema-Hausa.html
10845 Htp K7Africa0,DVB-S28PSK300002/3,2815,Bongo TV (South Africa),,MPEG-4/SD,241,242 Eng,,,10845 H,tp K7,0,,,Bongo TV (South Africa),https://www.lyngsat.com/tvchannels/za/Bongo-TV.html
10845 Htp K7Africa0,DVB-S28PSK300002/3,2815,Bongo TV (South Africa),,MPEG-4/SD,241,242 Eng,,,10845 H,tp K7,0,,,Bongo TV (South Africa),https://www.lyngsat.com/tvchannels/za/Bongo-TV.html
10845 Htp K7Africa0,DVB-S28PSK300002/3,2816,Diva,,MPEG-4/SD,251,252 Eng,,,10845 H,tp K7,0,,,Diva,https://www.lyngsat.com/tvchannels/--/Diva.html
10845 Htp K7Africa0,DVB-S28PSK300002/3,2817,Mindset Liberty Learn,,MPEG-2/SD,261,262 Eng,,,10845 H,tp K7,0,,,Mindset Liberty Learn,https://www.lyngsat.com/tvchannels/za/Mindset-Liberty-Learn.html
10845 Htp K7Africa0,DVB-S28PSK300002/3,2818,RPM,,MPEG-4/SD,271,272 Eng,,,10845 H,tp K7,0,,,RPM,https://www.lyngsat.com/tvchannels/--/RPM.html
10845 Htp K7Africa0,DVB-S28PSK300002/3,2819,Crime & Evidence,,MPEG-4/SD,281,282 Eng,,,10845 H,tp K7,0,,,Crime & Evidence,https://www.lyngsat.com/tvchannels/--/Crime-and-Evidence.html
10887 Htp K9Africa0,DVB-S28PSK300002/3,2160,Nyota TV (Kenya),,MPEG-4/SD,1601,1602 Swa,,,10887 H,tp K9,0,,,Nyota TV (Kenya),https://www.lyngsat.com/tvchannels/ke/Nyota-TV.html
10887 Htp K9Africa0,DVB-S28PSK300002/3,2166,GEB,,MPEG-4/SD,1661,1662 Eng,,,10887 H,tp K9,0,,,GEB,https://www.lyngsat.com/tvchannels/us/GEB.html
10887 Htp K9Africa0,DVB-S28PSK300002/3,2166,GEB,,MPEG-4/SD,1661,1662 Eng,,,10887 H,tp K9,0,,,GEB,https://www.lyngsat.com/tvchannels/us/GEB.html
10887 Htp K9Africa0,DVB-S28PSK300002/3,2150,Hope FM,,,,1502 Eng,,,10887 H,tp K9,0,,,Hope FM,https://www.lyngsat.com/radiochannels/ke/Hope-FM.html
10887 Htp K9Africa0,DVB-S28PSK300002/3,2150,Hope FM,,,,1502 Eng,,,10887 H,tp K9,0,,,Hope FM,https://www.lyngsat.com/radiochannels/ke/Hope-FM.html
10887 Htp K9Africa0,DVB-S28PSK300002/3,2151,Radio Miraya,,,,1512 Ara,,,10887 H,tp K9,0,,,Radio Miraya,https://www.lyngsat.com/radiochannels/ss/Radio-Miraya.html
10887 Htp K9Africa0,DVB-S28PSK300002/3,2152,Biblia Husema Broadcasting,,,,1522 Eng,,,10887 H,tp K9,0,,,Biblia Husema Broadcasting,https://www.lyngsat.com/radiochannels/ke/Biblia-Husema-Broadcasting.html
10887 Htp K9Africa0,DVB-S28PSK300002/3,2152,Biblia Husema Broadcasting,,,,1522 Eng,,,10887 H,tp K9,0,,,Biblia Husema Broadcasting,https://www.lyngsat.com/radiochannels/ke/Biblia-Husema-Broadcasting.html
10887 Htp K9Africa0,DVB-S28PSK300002/3,2153,Capital FM (Kenya),,,,1532 Eng,,,10887 H,tp K9,0,,,Capital FM (Kenya),https://www.lyngsat.com/radiochannels/ke/Capital-FM.html
10887 Htp K9Africa0,DVB-S28PSK300002/3,2153,Capital FM (Kenya),,,,1532 Eng,,,10887 H,tp K9,0,,,Capital FM (Kenya),https://www.lyngsat.com/radiochannels/ke/Capital-FM.html
10887 Htp K9Africa0,DVB-S28PSK300002/3,2154,Nam Lolwe FM,,,,1542,,,10887 H,tp K9,0,,,Nam Lolwe FM,https://www.lyngsat.com/radiochannels/ke/Nam-Lolwe-FM.html
10887 Htp K9Africa0,DVB-S28PSK300002/3,2156,Radio Ashe,,,,1562,,,10887 H,tp K9,0,,,Radio Ashe,https://www.lyngsat.com/radiochannels/ke/Radio-Ashe.html
10887 Htp K9Africa0,DVB-S28PSK300002/3,2156,Radio Ashe,,,,1562,,,10887 H,tp K9,0,,,Radio Ashe,https://www.lyngsat.com/radiochannels/ke/Radio-Ashe.html
10887 Htp K9Africa0,DVB-S28PSK300002/3,2158,ATG Radio,,,,1582,,,10887 H,tp K9,0,,,ATG Radio,https://www.lyngsat.com/radiochannels/ke/ATG-Radio.html
10887 Htp K9Africa0,DVB-S28PSK300002/3,2159,Kigooco FM,,,,1592,,,10887 H,tp K9,0,,,Kigooco FM,https://www.lyngsat.com/radiochannels/ke/Kigooco-FM.html
10887 Htp K9Africa0,DVB-S28PSK300002/3,2163,One Love Radio FM,,,,1632 Eng,,,10887 H,tp K9,0,,,One Love Radio FM,https://www.lyngsat.com/radiochannels/zm/One-Love-Radio-FM.html
10887 Htp K9Africa0,DVB-S28PSK300002/3,2163,One Love Radio FM,,,,1632 Eng,,,10887 H,tp K9,0,,,One Love Radio FM,https://www.lyngsat.com/radiochannels/zm/One-Love-Radio-FM.html
10887 Htp K9Africa0,DVB-S28PSK300002/3,2164,Radio Christian Voice,,,,1642 Eng,,,10887 H,tp K9,0,,,Radio Christian Voice,https://www.lyngsat.com/radiochannels/zm/Radio-Christian-Voice.html
10887 Htp K9Africa0,DVB-S28PSK300002/3,2164,Radio Christian Voice,,,,1642 Eng,,,10887 H,tp K9,0,,,Radio Christian Voice,https://www.lyngsat.com/radiochannels/zm/Radio-Christian-Voice.html
10958 Htp B1Europe A,DVB-S2QPSK45003/4,,(feeds),,,,,,Roli231019,10958 H,tp B1,,,,,
10961 Vtp B2Europe A,DVB-S28PSK96003/4,,(feeds),,,,,,Roli240218,10961 V,tp B2,,,,,
10964 Htp B1Europe A,DVB-S28PSK49373/4,,(feeds),,,,,,Jamie A201130,10964 H,tp B1,,,,,
10970 Vtp B2Europe A,DVB-S28PSK49373/4,,(feeds),,,,,,Jamie A220919,10970 V,tp B2,,,,,
10971 Htp B1Europe A,DVB-S2QPSK42003/4,,(feeds),,,,,,Roli230302,10971 H,tp B1,,,,,
10976 Htp B1Europe A,DVB-S28PSK49373/4,,(feeds),,,,,,Roli150715,10976 H,tp B1,,,,,
10976 Vtp B2Europe A,DVB-S28PSK49373/4,,(feeds),,,,,,Jamie A230510,10976 V,tp B2,,,,,
10981 Htp B1Europe A,DVB-S28PSK49373/4,,(feeds),,,,,,Jamie A210520,10981 H,tp B1,,,,,
10982 Vtp B2Europe A,DVB-S28PSK49373/4,,(feeds),,,,,,Jamie A221101,10982 V,tp B2,,,,,
10988 Vtp B2Europe A,DVB-S28PSK49373/4,,(feeds),,,,,,Jamie A220919,10988 V,tp B2,,,,,
10989 Htp B1Europe A,DVB-S2QPSK42003/4,,(feeds),,,,,,Roli230302,10989 H,tp B1,,,,,
10994 Htp B1Europe A,DVB-S28PSK49373/4,,(feeds),,,,,,Jamie A210520,10994 H,tp B1,,,,,
10994 Vtp B2Europe A,DVB-S28PSK49373/4,,(feeds),,,,,,Jamie A220919,10994 V,tp B2,,,,,
11003 Vtp B2Europe A,DVB-S28PSK49373/4,,(feeds),,,,,,Jamie A220919,11003 V,tp B2,,,,,
11005 Htp B1Europe A,DVB-S28PSK80003/4,,(feeds),,,,,,Roli231110,11005 H,tp B1,,,,,
11012 Htp B1Europe A,DVB-S28PSK49373/4,,(feeds),,,,,,Jamie A210520,11012 H,tp B1,,,,,
11012 Vtp B2Europe A,DVB-S28PSK49373/4,,(feeds),,,,,,Roli150417,11012 V,tp B2,,,,,
11018 Htp B1Europe A,DVB-S28PSK49373/4,,(feeds),,,,,,Jamie A210520,11018 H,tp B1,,,,,
11018 Vtp B2Europe A,DVB-S28PSK49373/4,,(feeds),,,,,,Jamie A230115,11018 V,tp B2,,,,,
11024 Htp B1Europe A,DVB-S28PSK49373/4,,(feeds),,,,,,Jamie A210520,11024 H,tp B1,,,,,
11024 Vtp B2Europe A,DVB-S28PSK49373/4,,(feeds),,,,,,Jamie A220417,11024 V,tp B2,,,,,
11042 Vtp B4Europe A,DVB-S28PSK49373/4,,(feeds),,,,,,Jamie A191124,11042 V,tp B4,,,,,
11048 Vtp B4Europe A,DVB-S28PSK49373/4,,(feeds),,,,,,Jamie A231212,11048 V,tp B4,,,,,
11057 Vtp B4Europe A,DVB-S28PSK49373/4,,(feeds),,,,,,Jamie A200926,11057 V,tp B4,,,,,
11060 Htp B3Europe A,DVB-S28PSK49373/4,,(feeds),,,,,,Roli140817,11060 H,tp B3,,,,,
11065 Htp B3Europe A,DVB-S28PSK49373/4,,(feeds),,,,,,Jamie A210522,11065 H,tp B3,,,,,
