Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,is_Provider,Provider
4130 VC,DVB-S2QPSK10003/4,,AIR,,1-1,,4.0,,N Stanislav220521,https://www.lyngsat.com/providers/in/AIR.html,True,AIR
4130 VC,DVB-S2QPSK10003/4,,AIR,,1-1,,4.0,,N Stanislav220521,https://www.lyngsat.com/providers/in/AIR.html,True,AIR
4108 VC,DVB-S2QPSK10003/4,2000.0,AIR FM Rainbow Mumbai,,,,201,,,,False,AIR
4130 VC,DVB-S2QPSK10003/4,2.0,AIR FM Rainbow Mumbai,,,,222,,,,False,AIR
4108 VC,DVB-S2QPSK10003/4,3000.0,AIR Marathi,,,,301 Mar,,,,False,AIR
4130 VC,DVB-S2QPSK10003/4,3.0,AIR Marathi,,,,333 Mar,,,,False,AIR
4108 VC,DVB-S2QPSK10003/4,4000.0,AIR FM Gold Delhi,,,,401,,,,False,AIR
4108 VC,DVB-S2QPSK10003/4,5000.0,AIR FM Rainbow Lucknow,,,,501,,,,False,AIR
4108 VC,DVB-S2QPSK10003/4,6000.0,AIR Amritsar,,,,601,,,,False,AIR
4113 VC,DVB-S2QPSK10003/4,1.0,AIR Chennai,,,,101,,,,False,AIR
4113 VC,DVB-S2QPSK10003/4,3.0,AIR FM Rainbow Chennai,,,,301,,,,False,AIR
4113 VC,DVB-S2QPSK10003/4,4.0,AIR FM Gold Chennai,,,,401,,,,False,AIR
4116 VC,DVB-S2QPSK10003/4,5.0,AIR FM Rainbow Delhi,,,,4124,,,,False,AIR
4116 VC,DVB-S2QPSK10003/4,6.0,AIR Vividh Bharati,,,,4125,,,,False,AIR
4123 VC,DVB-S3203/4,,AIR Vijayawada,,8192-4096,,5.5,,Onacila210317,https://www.lyngsat.com/providers/in/AIR-Vijayawada.html,True,AIR Vijayawada
4123 VC,DVB-S3203/4,1.0,AIR Vijayawada,,,,4112,,,https://www.lyngsat.com/providers/in/AIR-Vijayawada.html,True,AIR Vijayawada
4123 VC,DVB-S3203/4,2.0,AIR Vijayawada,,,,4114,,,https://www.lyngsat.com/providers/in/AIR-Vijayawada.html,True,AIR Vijayawada
4127 VC,DVB-S2QPSK10003/4,5000.0,AIR FM Rainbow Kolkata,,,,501,,,,False,AIR Vijayawada
4127 VC,DVB-S2QPSK10003/4,6000.0,AIR FM Gold Kolkata,,,,601,,,,False,AIR Vijayawada
4130 VC,DVB-S2QPSK10003/4,5.0,AIR FM Gold Mumbai,,,,555,,,,False,AIR Vijayawada
4130 VC,DVB-S2QPSK10003/4,6.0,AIR Pune,,,,666,,,,False,AIR Vijayawada
4130 VC,DVB-S2QPSK10003/4,7.0,AIR Aurangabad,,,,777,,,,False,AIR Vijayawada
4130 VC,DVB-S2QPSK10003/4,8.0,AIR Nagpur,,,,888,,,,False,AIR Vijayawada
4136 VC,DVB-S3203/4,256.0,AIR Tiruchirappalli,,?-?,,5.54114,,N Stanislav220926,,False,AIR Vijayawada
