Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider
11024 Vtp 4KEurope,DVB-S28PSK127005/6,,ARB Media Qrup,,0-1,,9.4,,N Stanislav220128,11024 V,tp 4K,,,https://www.lyngsat.com/providers/az/ARB-Media-Qrup.html,True,ARB Media Qrup
11024 Vtp 4KEurope,DVB-S28PSK127005/6,1.0,ARB,,MPEG-4/HD,515.0,4116 Aze,,,11024 V,tp 4K,,,,False,ARB Media Qrup
11024 Vtp 4KEurope,DVB-S28PSK127005/6,2.0,ARB 24,,MPEG-4/HD,516.0,4115 Aze,,,11024 V,tp 4K,,,,False,ARB Media Qrup
11024 Vtp 4KEurope,DVB-S28PSK127005/6,3.0,ARB Günes,,MPEG-4/HD,513.0,4113 Aze,,,11024 V,tp 4K,,,,False,ARB Media Qrup
11024 Vtp 4KEurope,DVB-S28PSK127005/6,4.0,Start TV,,MPEG-4/HD,517.0,4117 Aze,,,11024 V,tp 4K,,,,False,ARB Media Qrup
11024 Vtp 4KEurope,DVB-S28PSK127005/6,5.0,Kepez FM,,,,4114 Aze,,,11024 V,tp 4K,,,,False,ARB Media Qrup
11095 Htp 7KEurope,DVB-S28PSK300005/6,,Georgian mux,,0-0,,9.4,,Hekayat240330,11095 H,tp 7K,,,,False,ARB Media Qrup
11095 Htp 7KEurope,DVB-S28PSK300005/6,1.0,1 TV (Georgia),,MPEG-4/SD,1010.0,101. Geo,,,11095 H,tp 7K,,,,False,ARB Media Qrup
11095 Htp 7KEurope,DVB-S28PSK300005/6,2.0,Ajara TV,,MPEG-4/HD,1020.0,1021 Geo,,,11095 H,tp 7K,,,,False,ARB Media Qrup
11095 Htp 7KEurope,DVB-S28PSK300005/6,3.0,Imedi TV,,MPEG-4/HD,1030.0,1031 Geo,,,11095 H,tp 7K,,,,False,ARB Media Qrup
11095 Htp 7KEurope,DVB-S28PSK300005/6,4.0,GDS TV,,MPEG-4/SD,1040.0,1041 Geo,,,11095 H,tp 7K,,,,False,ARB Media Qrup
11095 Htp 7KEurope,DVB-S28PSK300005/6,6.0,TV Pirveli,,MPEG-4/HD,1060.0,1061 Geo,,,11095 H,tp 7K,,,,False,ARB Media Qrup
11095 Htp 7KEurope,DVB-S28PSK300005/6,7.0,Mtavari Arkhi,,MPEG-4/HD,1070.0,1071 Geo,,,11095 H,tp 7K,,,,False,ARB Media Qrup
11095 Htp 7KEurope,DVB-S28PSK300005/6,8.0,Obieqtivi TV,,MPEG-4/SD,1080.0,1081 Geo,,,11095 H,tp 7K,,,,False,ARB Media Qrup
11095 Htp 7KEurope,DVB-S28PSK300005/6,9.0,TV 25 (Georgia),,MPEG-4/HD,1090.0,1091 Geo,,,11095 H,tp 7K,,,,False,ARB Media Qrup
11095 Htp 7KEurope,DVB-S28PSK300005/6,11.0,Rustavi 2,,MPEG-4/HD,1110.0,1111 Geo,,,11095 H,tp 7K,,,,False,ARB Media Qrup
11095 Htp 7KEurope,DVB-S28PSK300005/6,12.0,Qartuli TV,,MPEG-4/SD,1120.0,1121 Geo,,,11095 H,tp 7K,,,,False,ARB Media Qrup
11095 Htp 7KEurope,DVB-S28PSK300005/6,13.0,Comedy TV (Georgia),,MPEG-4/SD,1130.0,1131 Geo,,,11095 H,tp 7K,,,,False,ARB Media Qrup
11095 Htp 7KEurope,DVB-S28PSK300005/6,14.0,Pos TV,,MPEG-4/HD,1140.0,1141 Geo,,,11095 H,tp 7K,,,,False,ARB Media Qrup
11095 Htp 7KEurope,DVB-S28PSK300005/6,15.0,Marneuli TV,,MPEG-4/SD,1150.0,1151 Geo,,new,11095 H,tp 7K,,,,False,ARB Media Qrup
11095 Htp 7KEurope,DVB-S28PSK300005/6,17.0,Palitra News,,MPEG-4/SD,1170.0,1171 Geo,,new,11095 H,tp 7K,,,,False,ARB Media Qrup
11095 Htp 7KEurope,DVB-S28PSK300005/6,18.0,Formula,,MPEG-4/HD,1180.0,1181 Geo,,,11095 H,tp 7K,,,,False,ARB Media Qrup
11095 Htp 7KEurope,DVB-S28PSK300005/6,20.0,Haber Global,,MPEG-4/HD,1200.0,1201 Tur,,,11095 H,tp 7K,,,,False,ARB Media Qrup
11095 Htp 7KEurope,DVB-S28PSK300005/6,22.0,Az TV,,MPEG-4/SD,1220.0,1221 Aze,,,11095 H,tp 7K,,,,False,ARB Media Qrup
11175 Htp 11KCentral Asia,DVB-S28PSK300005/6,1.0,Az TV,,MPEG-4/HD,101.0,102 Aze,,,11175 H,tp 11K,,,,False,ARB Media Qrup
11095 Htp 7KEurope,DVB-S28PSK300005/6,24.0,Baku TV,,MPEG-4/HD,1240.0,1241 Aze,,,11095 H,tp 7K,,,,False,ARB Media Qrup
11135 Htp 9KCentral Asia,DVB-S28PSK300005/6,1.0,Baku TV,,MPEG-4/HD,1701.0,1801 Aze,,,11135 H,tp 9K,,,,False,ARB Media Qrup
11095 Htp 7KEurope,DVB-S28PSK300005/6,27.0,Ictimai TV,,MPEG-4/SD,1270.0,1271 Aze,,,11095 H,tp 7K,,,,False,ARB Media Qrup
