Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL
11112 Htp 67Europe Ku0,DVB-S28PSK230002/3,50470,ARY Digital UK,,MPEG-2/SD,2330,2331 Urd,,,11112 H,tp 67,0,,
11112 Htp 67Europe Ku0,DVB-S28PSK230002/3,50485,New Media TV,,MPEG-4/HD,2310,2309 Eng,,new,11112 H,tp 67,0,,
11112 Htp 67Europe Ku0,DVB-S28PSK230002/3,50490,Dunya News UK,,MPEG-2/SD,2305,2315 Urd,,,11112 H,tp 67,0,,
11112 Htp 67Europe Ku0,DVB-S28PSK230002/3,50495,MATV Channel,,MPEG-2/SD,2362,2363 Eng,,,11112 H,tp 67,0,,
11112 Htp 67Europe Ku0,DVB-S28PSK230002/3,50497,ARY World,,MPEG-2/SD,2326,2.27 Urd,,,11112 H,tp 67,0,,
11112 Htp 67Europe Ku0,DVB-S28PSK230002/3,52021,Islam TV,,MPEG-2/SD,2325,2324,,,11112 H,tp 67,0,,
11112 Htp 67Europe Ku0,DVB-S28PSK230002/3,52023,Iqra Bangla,,MPEG-2/SD,2328,2329 Ben,,,11112 H,tp 67,0,,
11112 Htp 67Europe Ku0,DVB-S28PSK230002/3,52202,Iqra TV,,MPEG-2/SD,2332,2333 Urd,,,11112 H,tp 67,0,,
11126 Vtp 68UK0,DVB-S220005/6,21200,Channel 4 London,,MPEG-4/HD,2305,2306 Eng2307 Eng,,,11126 V,tp 68,0,,
11126 Vtp 68UK0,DVB-S220005/6,21250,4Seven,,MPEG-2/SD,2316,2317 Eng,,,11126 V,tp 68,0,,
11135 Vtp 510West Africa0,DVB-S2QPSK300005/6,,HD+ Ghana,,2-2510,,5.2,,Anonymous240323,11135 V,tp 510,0,,
11224 Htp 105Europe Ku0,DVB-S275002/3,54211,PTC Punjabi,,MPEG-2/SD,2312,2313 Pan,,,11224 H,tp 105,0,,
11224 Htp 105Europe Ku0,DVB-S275002/3,54221,NTV Europe,,MPEG-2/SD,2358,2359 Ben,,,11224 H,tp 105,0,,
11224 Htp 105Europe Ku0,DVB-S275002/3,54223,Sanskar TV,,MPEG-2/SD,2309,2318,,,11224 H,tp 105,0,,
11224 Htp 105Europe Ku0,DVB-S275002/3,54224,EuroNews English,,MPEG-2/SD,2310,2311 Eng,,,11224 H,tp 105,0,,
11224 Htp 105Europe Ku0,DVB-S275002/3,54225,British Muslim TV,,MPEG-2/SD,2335,2336 Eng,,,11224 H,tp 105,0,,
11224 Htp 105Europe Ku0,DVB-S275002/3,54226,TV One (UK),,MPEG-2/SD,2307,2308 Eng,,,11224 H,tp 105,0,,
