Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL
3954 Vtp 6BNCSouth America0,DVB-S266663/4,,TV Aparecida,,MPEG-4/HD,33,34 Por,,,3954 V,tp 6BNC,0,,https://www.lyngsat.com/providers/br/TV-Aparecida.html
3954 Vtp 6BNCSouth America0,DVB-S266663/4,,TV Aparecida,,,43,44 Por,,,3954 V,tp 6BNC,0,,https://www.lyngsat.com/providers/br/TV-Aparecida.html
3954 Vtp 6BNCSouth America0,DVB-S266663/4,,Rádio Aparecida,,,,54 Por,,,3954 V,tp 6BNC,0,,
3954 Vtp 6BNCSouth America0,DVB-S266663/4,,Pop 90.9 FM,,,,64 Por,,,3954 V,tp 6BNC,0,,
3984 Vtp 7BNCSouth America0,DVB-S28PSK37503/4,,Band Amazonas,,,,7.9,Conax,Edinho fta220528,3984 V,tp 7BNC,0,Conax,https://www.lyngsat.com/providers/br/Band-Amazonas.html
3984 Vtp 7BNCSouth America0,DVB-S28PSK37503/4,1,Band Amazonas,,MPEG-4/HD,269,266 Por,Conax,,3984 V,tp 7BNC,0,Conax,https://www.lyngsat.com/providers/br/Band-Amazonas.html
3984 Vtp 7BNCSouth America0,DVB-S28PSK37503/4,2,Band Amazonas,,MPEG-4/1seg,273,274 Por,,,3984 V,tp 7BNC,0,,https://www.lyngsat.com/providers/br/Band-Amazonas.html
3988 Vtp 7BNCSouth America0,DVB-S28PSK37505/6,,Band Bahia,,,,9.4,Conax,Wilkherdasilva210830,3988 V,tp 7BNC,0,Conax,https://www.lyngsat.com/providers/br/Band-Bahia.html
3988 Vtp 7BNCSouth America0,DVB-S28PSK37505/6,1,Band Bahia,,MPEG-4/HD,269,266 Por,Conax,,3988 V,tp 7BNC,0,Conax,https://www.lyngsat.com/providers/br/Band-Bahia.html
3988 Vtp 7BNCSouth America0,DVB-S28PSK37505/6,2,Band Bahia,,MPEG-4/1seg,273,274 Por,,,3988 V,tp 7BNC,0,,https://www.lyngsat.com/providers/br/Band-Bahia.html
4012 Vtp 8BNCSouth America0,DVB-S216APSK228604/5,,Canais Globo,,,,,PowerVu,R Imperial211027,4012 V,tp 8BNC,0,PowerVu,https://www.lyngsat.com/providers/br/Canais-Globo.html
4012 Vtp 8BNCSouth America0,DVB-S216APSK228604/5,1001,SporTV,,MPEG-4/HD,1010,1012 Por,PowerVu,,4012 V,tp 8BNC,0,PowerVu,
4012 Vtp 8BNCSouth America0,DVB-S216APSK228604/5,1002,SporTV 2,,MPEG-4/HD,1020,1022 Por,PowerVu,,4012 V,tp 8BNC,0,PowerVu,
4012 Vtp 8BNCSouth America0,DVB-S216APSK228604/5,1003,SporTV 3,,MPEG-4/HD,1030,1032 Por,PowerVu,,4012 V,tp 8BNC,0,PowerVu,
4012 Vtp 8BNCSouth America0,DVB-S216APSK228604/5,1004,[Globosat test card],,MPEG-4/HD,1040,1042,PowerVu,,4012 V,tp 8BNC,0,PowerVu,
4012 Vtp 8BNCSouth America0,DVB-S216APSK228604/5,1005,Premiere FC 3,,MPEG-4/HD,1050,1052 Por,PowerVu,,4012 V,tp 8BNC,0,PowerVu,
4012 Vtp 8BNCSouth America0,DVB-S216APSK228604/5,1006,Combate,,MPEG-4/HD,1060,1062 Por,PowerVu,,4012 V,tp 8BNC,0,PowerVu,
4012 Vtp 8BNCSouth America0,DVB-S216APSK228604/5,1007,Viva,,MPEG-4/HD,1070,1072 Por,PowerVu,,4012 V,tp 8BNC,0,PowerVu,
4012 Vtp 8BNCSouth America0,DVB-S216APSK228604/5,1008,Canal Brasil,,MPEG-4/HD,1080,1082 Por,PowerVu,,4012 V,tp 8BNC,0,PowerVu,
4012 Vtp 8BNCSouth America0,DVB-S216APSK228604/5,,CBN Rio de Janeiro,,,,136 Por,,,4012 V,tp 8BNC,0,,
4012 Vtp 8BNCSouth America0,DVB-S216APSK228604/5,,CBN Brasilia,,,,137 Por,,,4012 V,tp 8BNC,0,,
4012 Vtp 8BNCSouth America0,DVB-S216APSK228604/5,,CBN Belo Horizonte,,,,138 Por,,,4012 V,tp 8BNC,0,,
4012 Vtp 8BNCSouth America0,DVB-S216APSK228604/5,,Rádio Globo Rio de Janeiro,,,,139 Por,,,4012 V,tp 8BNC,0,,
4012 Vtp 8BNCSouth America0,DVB-S216APSK228604/5,,BH FM,,,,140 Por,,,4012 V,tp 8BNC,0,,
4032 Vtp 8BNCSouth America0,DVB-S28PSK100003/4,1,Rede Globo,,?-?HEVC/HD,111,7.9 121 Por,Verimatrix (B)Irdeto,Wilkherdasilva220412,4032 V,tp 8BNC,0,"Verimatrix (B),Irdeto",
4045 Vtp 9BNCSouth America0,DVB-S6513/4,,CCR FM,,,,5.5 257 Por,,F Alves150315,4045 V,tp 9BNC,0,,
