Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL
12633 Htp 113Pan Europe0,DVB-S220005/6,12601,K-TV,,MPEG-2/SD,202,302 Ger,,,12633 H,tp 113,0,,
12633 Htp 113Pan Europe0,DVB-S220005/6,12604,Deutsches Musik Fernsehen,,MPEG-4/SD,53,54 Ger,,,12633 H,tp 113,0,,
12633 Htp 113Pan Europe0,DVB-S220005/6,12612,Deutschlands GayChat,,MPEG-2/SD,212,312 Ger,,,12633 H,tp 113,0,,
12633 Htp 113Pan Europe0,DVB-S220005/6,12614,Juwelo,,MPEG-2/SD,1041,1042 Ger,,,12633 H,tp 113,0,,
12633 Htp 113Pan Europe0,DVB-S220005/6,12622,Männersache TV (04-21),,MPEG-2/SD,222,322 Ger,,,12633 H,tp 113,0,,
12633 Htp 113Pan Europe0,DVB-S220005/6,12623,Date Line (04-21),,MPEG-2/SD,223,323 Ger,,,12633 H,tp 113,0,,
12633 Htp 113Pan Europe0,DVB-S220005/6,12624,Fotohandy TV (04-21),,MPEG-2/SD,224,324 Ger,,,12633 H,tp 113,0,,
12633 Htp 113Pan Europe0,DVB-S220005/6,12625,Mobile-Sex (04-21),,MPEG-2/SD,225,325 Ger,,,12633 H,tp 113,0,,
12633 Htp 113Pan Europe0,DVB-S220005/6,12626,My Dirty Mobile (04-21),,MPEG-2/SD,226,326 Ger,,,12633 H,tp 113,0,,
12633 Htp 113Pan Europe0,DVB-S220005/6,12629,Traumfrauen TV,,MPEG-2/SD,229,329 Ger,,,12633 H,tp 113,0,,
12633 Htp 113Pan Europe0,DVB-S220005/6,12630,Heiss und Sexy TV,,MPEG-2/SD,230,330 Ger,,,12633 H,tp 113,0,,
12633 Htp 113Pan Europe0,DVB-S220005/6,12633,Lilo TV,,MPEG-4/SD,233,333 Ger,,,12633 H,tp 113,0,,
12633 Htp 113Pan Europe0,DVB-S220005/6,12635,Babestation 24 (21-04),,MPEG-2/SD,235,335 Ger,,,12633 H,tp 113,0,,
12633 Htp 113Pan Europe0,DVB-S220005/6,12639,Erotika TV (04-21),,MPEG-2/SD,239,339 Ger,,,12633 H,tp 113,0,,
12633 Htp 113Pan Europe0,DVB-S220005/6,12640,BunnyClub 24 (04-21),,MPEG-2/SD,240,340 Ger,,,12633 H,tp 113,0,,
12633 Htp 113Pan Europe0,DVB-S220005/6,12641,Clipmobile (04-21),,MPEG-2/SD,241,341 Ger,,,12633 H,tp 113,0,,
12633 Htp 113Pan Europe0,DVB-S220005/6,12654,FFN,,,,354 Ger,,,12633 H,tp 113,0,,
