Sattelite_Name,Provider,Provider/Channel,Channel,freq_alt,beam_alt,eirp_alt,FEC,SR,SYSTEM,encryption_alt,Languages,SID,Compression,Channel_Country,Provider_Country,VPID,Provider_URL,Channel_URL,is_Provider
Intelsat-18,Anuvu,Franceinfo:,Franceinfo:,11155 V,tp FP5K,0,3/4/2024,28588,DVB-S2,,Fre,8548,MPEG-4/SD,fr,,341,,https://www.lyngsat.com/radiochannels/fr/Franceinfo.html,FALSE
Intelsat-18,Anuvu,Franceinfo:,Franceinfo:,11155 V,tp FP5K,0,3/4/2024,28588,DVB-S2,,Fre,158,,fr,,,,https://www.lyngsat.com/tvchannels/fr/Franceinfo.html,FALSE
Intelsat-18,Anuvu,Franceinfo:,Franceinfo:,11155 V,tp FP5K,0,3/4/2024,28588,DVB-S2,,Fre,158,,fr,,,,https://www.lyngsat.com/radiochannels/fr/Franceinfo.html,FALSE
Intelsat-18,Anuvu,Franceinfo:,Franceinfo:,11155 H,tp SP6K,,5/6/2024,30000,DVB-S2,,Fre,8548,MPEG-4/SD,fr,,341,,https://www.lyngsat.com/tvchannels/fr/Franceinfo.html,FALSE
Intelsat-18,Anuvu,Franceinfo:,Franceinfo:,11155 H,tp SP6K,,5/6/2024,30000,DVB-S2,,Fre,8548,MPEG-4/SD,fr,,341,,https://www.lyngsat.com/radiochannels/fr/Franceinfo.html,FALSE
Intelsat-18,Anuvu,Franceinfo:,Franceinfo:,11155 H,tp SP6K,,5/6/2024,30000,DVB-S2,,Fre,8648,MPEG-4/SD,fr,,351,,https://www.lyngsat.com/tvchannels/fr/Franceinfo.html,FALSE
Intelsat-18,Anuvu,Franceinfo:,Franceinfo:,11155 H,tp SP6K,,5/6/2024,30000,DVB-S2,,Fre,8648,MPEG-4/SD,fr,,351,,https://www.lyngsat.com/radiochannels/fr/Franceinfo.html,FALSE
Intelsat-18,Anuvu,France Inter,France Inter,11155 V,tp FP5K,0,3/4/2024,28588,DVB-S2,,Fre,114,,fr,,,,https://www.lyngsat.com/radiochannels/fr/France-Inter.html,FALSE
Intelsat-18,Anuvu,France Inter,France Inter,11155 H,tp SP6K,,5/6/2024,30000,DVB-S2,"Mediaguard,Viaccess",Fre,114,,fr,,,,https://www.lyngsat.com/radiochannels/fr/France-Inter.html,FALSE
Intelsat-18,Anuvu,Mouv',Mouv',11155 V,tp FP5K,0,3/4/2024,28588,DVB-S2,,Fre,156,,fr,,,,https://www.lyngsat.com/radiochannels/fr/Mouv.html,FALSE
Intelsat-18,Anuvu,Radio France Internationale,Radio France Internationale,11155 V,tp FP5K,0,3/4/2024,28588,DVB-S2,,Fre,157,,fr,,,,https://www.lyngsat.com/radiochannels/fr/Radio-France-Internationale.html,FALSE
Intelsat-18,Anuvu,France Culture,France Culture,11155 V,tp FP5K,0,3/4/2024,28588,DVB-S2,,Fre,159,,fr,,,,https://www.lyngsat.com/radiochannels/fr/France-Culture.html,FALSE
Intelsat-18,France TV,Polynésie 1ère,Polynésie 1ère,11155 H,tp SP6K,,5/6/2024,30000,DVB-S2,"Mediaguard,Viaccess",Fre,8453,MPEG-4/SD,fr,,302,,https://www.lyngsat.com/tvchannels/fr/Polynesie-1ere.html,FALSE
Intelsat-18,France TV,Nouvelle Calédonie 1ère,Nouvelle Calédonie 1ère,11155 H,tp SP6K,,5/6/2024,30000,DVB-S2,"Mediaguard,Viaccess",Fre,8454,MPEG-4/SD,fr,,303,,https://www.lyngsat.com/tvchannels/fr/Nouvelle-Caledonie-1ere.html,FALSE
Intelsat-18,France TV,Wallis & Futuna 1ère,Wallis & Futuna 1ère,11155 H,tp SP6K,,5/6/2024,30000,DVB-S2,"Mediaguard,Viaccess",Fre,8455,MPEG-4/SD,fr,,304,,https://www.lyngsat.com/tvchannels/fr/Wallis-and-Futuna-1ere.html,FALSE
Intelsat-18,France TV,France 2,France 2,11155 H,tp SP6K,,5/6/2024,30000,DVB-S2,"Mediaguard,Viaccess",Fre,8529,MPEG-4/SD,fr,,370,,https://www.lyngsat.com/tvchannels/fr/France-2.html,FALSE
Intelsat-18,France TV,France 2,France 2,11155 H,tp SP6K,,5/6/2024,30000,DVB-S2,"Mediaguard,Viaccess",Fre,8629,MPEG-4/SD,fr,,380,,https://www.lyngsat.com/tvchannels/fr/France-2.html,FALSE
Intelsat-18,France TV,France 3,France 3,11155 H,tp SP6K,,5/6/2024,30000,DVB-S2,"Mediaguard,Viaccess",Fre,8532,MPEG-4/SD,fr,,371,,https://www.lyngsat.com/tvchannels/fr/France-3.html,FALSE
