Provider/Channel,Sattelite_Name,freq_alt,encryption_alt
ABC TV Queensland,Eutelsat-172B,11044 V,
ABC Kids Queensland (05.00-19.30),Eutelsat-172B,11044 V,
ABC TV Plus Queensland (19.30-05.00),Eutelsat-172B,11044 V,
ABC Me Queensland,Eutelsat-172B,11044 V,
ABC Radio Brisbane,Eutelsat-172B,11044 V,
SBS Viceland WA,Eutelsat-172B,11044 V,
SBS Food WA,Eutelsat-172B,11044 V,
NITV,Eutelsat-172B,11044 V,
SBS WorldWatch,Eutelsat-172B,11044 V,
SBS WorldWatch,Eutelsat-172B,11044 V,
SBS Radio 1 WA,Eutelsat-172B,11044 V,
SBS Radio 2 WA,Eutelsat-172B,11044 V,
SBS Radio 3,Eutelsat-172B,11044 V,
SBS Viceland Queensland,Eutelsat-172B,11044 V,
SBS Food Queensland,Eutelsat-172B,11044 V,
SBS Radio 1 Queensland,Eutelsat-172B,11044 V,
SBS Radio 2 Queensland,Eutelsat-172B,11044 V,
IBC 13,Eutelsat-172B,12720 H,
Rai Italia Australia,Horizons-3e,11003 H,
Mediaset Italia,Horizons-3e,11003 H,
Alpha Sat,Horizons-3e,11003 H,
ERT World,Horizons-3e,11003 H,
Ant1 Pacific,Horizons-3e,11003 H,
Greek Cinema,Horizons-3e,11003 H,
SportPlus (Greece),Horizons-3e,11003 H,
Al Jadeed,Horizons-3e,11003 H,
LBC International,Horizons-3e,11003 H,
NourSat,Horizons-3e,11003 H,
MBC Maser,Horizons-3e,11003 H,
MTV (Lebanon),Horizons-3e,11003 H,
Aljazeera Channel,Horizons-3e,11003 H,
(ABS-CBN feeds),Intelsat-19,3723 H,
(ABS-CBN feeds),Intelsat-19,3729 H,
(ABS-CBN feeds),Intelsat-19,3733 H,
(ABS-CBN feeds),Intelsat-19,3737 H,
(EM TV feeds),Intelsat-19,3810 V,
Animal Planet Taiwan,Intelsat-19,3840 V,PowerVu
TLC Taiwan,Intelsat-19,3840 V,PowerVu
Discovery Channel Taiwan,Intelsat-19,3840 V,PowerVu
TLC New Zealand,Intelsat-19,3840 V,PowerVu
Discovery Channel Philippines,Intelsat-19,3840 V,PowerVu
TLC Philippines,Intelsat-19,3840 V,PowerVu
EM TV (Papua New Guinea),Intelsat-19,3882 V,
Nickelodeon South East Asia,Intelsat-19,3931 H,Viaccess
MTV 90s,Intelsat-19,3931 H,Viaccess
MTV Live Australia,Intelsat-19,3931 H,Viaccess
Nick Jr Asia,Intelsat-19,3931 H,Viaccess
Kapamilya Channel,Intelsat-19,3949 H,PowerVu
Kapamilya Channel,Intelsat-19,3949 H,PowerVu
Kapamilya Channel,Intelsat-19,4180 H,PowerVu
Kapamilya Channel,Intelsat-19,4180 H,PowerVu
Jeepney TV,Intelsat-19,3949 H,PowerVu
Jeepney TV,Intelsat-19,4180 H,PowerVu
