Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,Provider,Frequency,Beam,EIRP
11610 Htp CAH7Central Asia0,DVB-S28PSK202003/4,1,O'zbekiston,,MPEG-4/SD,201,301 Uzb,,,,,11610 H,tp CAH7,Central Asia0
11610 Htp CAH7Central Asia0,DVB-S28PSK202003/4,2,Yoshlar,,MPEG-4/SD,202,302 Uzb,,,,,11610 H,tp CAH7,Central Asia0
11610 Htp CAH7Central Asia0,DVB-S28PSK202003/4,3,Toshkent,,MPEG-4/SD,203,303 Uzb,,,,,11610 H,tp CAH7,Central Asia0
11610 Htp CAH7Central Asia0,DVB-S28PSK202003/4,4,Sport (Uzbekistan),,MPEG-4/SD,204,304 Uzb,,,,,11610 H,tp CAH7,Central Asia0
11610 Htp CAH7Central Asia0,DVB-S28PSK202003/4,5,Madaniyat va ma'rifat,,MPEG-4/SD,205,305 Uzb,,,,,11610 H,tp CAH7,Central Asia0
11610 Htp CAH7Central Asia0,DVB-S28PSK202003/4,6,Dunyo bo'ylab,,MPEG-4/SD,206,306 Uzb,,,,,11610 H,tp CAH7,Central Asia0
11610 Htp CAH7Central Asia0,DVB-S28PSK202003/4,7,Bolajon,,MPEG-4/SD,207,307 Uzb,,,,,11610 H,tp CAH7,Central Asia0
11610 Htp CAH7Central Asia0,DVB-S28PSK202003/4,8,Navo,,MPEG-4/SD,208,308 Uzb,,,,,11610 H,tp CAH7,Central Asia0
11610 Htp CAH7Central Asia0,DVB-S28PSK202003/4,9,Mahalla,,MPEG-4/SD,209,309 Uzb,,,,,11610 H,tp CAH7,Central Asia0
11610 Htp CAH7Central Asia0,DVB-S28PSK202003/4,10,Kinoteatr,,MPEG-4/SD,210,310 Uzb,,,,,11610 H,tp CAH7,Central Asia0
11610 Htp CAH7Central Asia0,DVB-S28PSK202003/4,11,Foreign Languages,,MPEG-4/SD,211,311 Uzb,,,,,11610 H,tp CAH7,Central Asia0
11610 Htp CAH7Central Asia0,DVB-S28PSK202003/4,12,O'zbekiston 24,,MPEG-4/SD,212,312 Uzb,,,,,11610 H,tp CAH7,Central Asia0
11610 Htp CAH7Central Asia0,DVB-S28PSK202003/4,19,Zor TV,,MPEG-4/SD,3213,3313 Uzb,Verimatrix (B),,,,11610 H,tp CAH7,Central Asia0
11610 Htp CAH7Central Asia0,DVB-S28PSK202003/4,20,MY 5,,MPEG-4/SD,220,320 Uzb,Verimatrix (B),,,,11610 H,tp CAH7,Central Asia0
11610 Htp CAH7Central Asia0,DVB-S28PSK202003/4,21,Sevimli TV,,MPEG-4/SD,221,321 Uzb,Verimatrix (B),,,,11610 H,tp CAH7,Central Asia0
11610 Htp CAH7Central Asia0,DVB-S28PSK202003/4,22,FTV Telekanali,,MPEG-4/SD,222,322 Uzb,Verimatrix (B),,,,11610 H,tp CAH7,Central Asia0
11610 Htp CAH7Central Asia0,DVB-S28PSK202003/4,23,Milliy TV,,MPEG-4/SD,223,323 Uzb,Verimatrix (B),,,,11610 H,tp CAH7,Central Asia0
11610 Htp CAH7Central Asia0,DVB-S28PSK202003/4,24,O'zbekiston Tarixi,,MPEG-4/SD,224,324 Uzb,Verimatrix (B),,,,11610 H,tp CAH7,Central Asia0
11610 Htp CAH7Central Asia0,DVB-S28PSK202003/4,25,Lux.TV,,MPEG-4/HD,225,325 Uzb,,,,,11610 H,tp CAH7,Central Asia0
11610 Htp CAH7Central Asia0,DVB-S28PSK202003/4,14,Mahalla FM 107.8,,,,314 Uzb,,,,,11610 H,tp CAH7,Central Asia0
11610 Htp CAH7Central Asia0,DVB-S28PSK202003/4,15,O'zbekiston FM 103.1,,,,315 Uzb,,,,,11610 H,tp CAH7,Central Asia0
11610 Htp CAH7Central Asia0,DVB-S28PSK202003/4,16,Radio O'zbekiston 24,,,,316 Uzb,,,,,11610 H,tp CAH7,Central Asia0
11610 Htp CAH7Central Asia0,DVB-S28PSK202003/4,17,Yoshlar FM 104,,,,317 Uzb,,,,,11610 H,tp CAH7,Central Asia0
