Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,Provider,Frequency,Beam,EIRP
103,TV 5 (Mongolia),,MPEG-4/SD,1061,1062 Mon,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
104,9 TV (Mongolia),,MPEG-4/SD,1361,1362 Mon,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
106,Mongol TV,,MPEG-4/SD,1181,1182 Mon,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
107,Edu TV,,MPEG-4/SD,1291,1292 Mon,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
108,UBS,,MPEG-4/SD,1121,1122 Mon,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
109,Eagle News,,MPEG-4/SD,1021,1022 Mon,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
112,SBN TV (Mongolia),,MPEG-4/SD,1031,1032 Mon,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
113,MNB Sport,,MPEG-4/SD,1331,1332 Mon,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
115,ETV HD,,MPEG-4/SD,1171,1172 Mon,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
116,TV 8 (Mongolia),,MPEG-4/SD,1141,1142 Mon,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
117,Star TV (Mongolia),,MPEG-4/SD,1051,1052 Mon,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
118,Malchin TV,,MPEG-4/SD,1071,1072 Mon,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
119,C1,,MPEG-4/SD,1191,1192 Mon,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
121,Suld TV,,MPEG-4/SD,1211,1212 Mon,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
125,Eco TV (Mongolia),,MPEG-4/SD,1251,1252 Mon,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
128,Central TV,,MPEG-4/SD,1281,1282 Mon,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
129,Royal HD,,MPEG-4/SD,1161,1162 Mon,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
131,Ekh Oron TV,,MPEG-4/SD,1041,1042 Mon,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
723,UCTV,,MPEG-4/SD,1111,1112 Chi,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
1,CCTV 4 Asia,,MPEG-4/SD,512,768 Chi,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
2,CGTN,,MPEG-4/SD,513,769 Chi,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
3,CCTV Opera,,MPEG-4/SD,514,770 Chi,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
