Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,92.0,France 24 English,,HEVC/SD,2092.0,3092 Eng,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,France 24 English,https://www.lyngsat.com/tvchannels/fr/France-24-English.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,92.0,France 24 English,,HEVC/SD,2092.0,3092 Eng,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,France 24 English,https://www.lyngsat.com/tvchannels/fr/France-24-English.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,93.0,TV5Monde Asie,,HEVC/SD,2093.0,3093 Fre,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,TV5Monde Asie,https://www.lyngsat.com/tvchannels/fr/TV5Monde-Asie.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,94.0,EuroNews English,,HEVC/SD,2094.0,3094 Eng,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,EuroNews English,https://www.lyngsat.com/tvchannels/fr/EuroNews-English.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,94.0,EuroNews English,,HEVC/SD,2094.0,3094 Eng,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,EuroNews English,https://www.lyngsat.com/tvchannels/fr/EuroNews-English.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,95.0,FashionTV Asia,,HEVC/HD,2095.0,3095,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,FashionTV Asia,https://www.lyngsat.com/tvchannels/fr/FashionTV-Asia.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,96.0,CGTN,,HEVC/SD,2096.0,3096 Eng,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,CGTN,https://www.lyngsat.com/tvchannels/cn/CGTN.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,96.0,CGTN,,HEVC/SD,2096.0,3096 Eng,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,CGTN,https://www.lyngsat.com/tvchannels/cn/CGTN.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,99.0,Hitz 99,,HEVC/HD,2099.0,3099,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,Hitz 99,https://www.lyngsat.com/tvchannels/--/Hitz-99.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,101.0,WION,,HEVC/SD,2101.0,3101 Eng,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,WION,https://www.lyngsat.com/tvchannels/in/WION.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,101.0,WION,,HEVC/SD,2101.0,3101 Eng,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,WION,https://www.lyngsat.com/tvchannels/in/WION.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,102.0,KBS World,,HEVC/SD,2102.0,3102 Kor,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,KBS World,https://www.lyngsat.com/tvchannels/kr/KBS-World.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,103.0,KBS Korea,,HEVC/SD,2103.0,3103 Kor,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,KBS Korea,https://www.lyngsat.com/tvchannels/kr/KBS-Korea.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,103.0,KBS Korea,,HEVC/SD,2103.0,3103 Kor,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,KBS Korea,https://www.lyngsat.com/tvchannels/kr/KBS-Korea.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,104.0,MKN News,,MPEG-4/SD,2104.0,3104,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,MKN News,https://www.lyngsat.com/tvchannels/in/MKN-News.html,False,Freesat
,,,,,,,,,,,,,,,,,,DVB-S33402/3,,False,Freesat
,,,,,,,,,,,,,,,,,,DVB-S33402/3,,False,Freesat
,,,,,,,,,,,,,,,,,,DVB-S33402/3,,False,Freesat
,,,,,,,,,,,,,,,,,,DVB-S33402/3,,False,Freesat
