Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider
3954 VC,DVB-S28PSK115722/3,,,,,,6.6,,N Stanislav231125,DVB-S2,11572.0,2/3,3954 V,,,,,,,False,Doordarshan
4073 VC,DVB-S28PSK96003/4,,,,1-1,,7.9,Irdeto,N Stanislav220626,DVB-S2,9600.0,3/4,4073 V,,,Irdeto,,,,False,Doordarshan
4096 VC,DVB-S28PSK94253/4,,,,,,7.9,,N Stanislav220731,DVB-S2,9425.0,3/4,4096 V,,,,,,,False,Doordarshan
3954 VC,DVB-S28PSK115722/3,1.0,Subhavaartha TV,,MPEG-4/SD,101.0,102 Tel,,,DVB-S2,11572.0,2/3,3954 V,,,,,Subhavaartha TV,https://www.lyngsat.com/tvchannels/in/Subhavaartha-TV.html,False,Doordarshan
3954 VC,DVB-S28PSK115722/3,1.0,Subhavaartha TV,,MPEG-4/SD,101.0,102 Tel,,,DVB-S2,11572.0,2/3,3954 V,,,,,Subhavaartha TV,https://www.lyngsat.com/tvchannels/in/Subhavaartha-TV.html,False,Doordarshan
3954 VC,DVB-S28PSK115722/3,2.0,Nambikkai TV,,MPEG-4/SD,201.0,202,,,DVB-S2,11572.0,2/3,3954 V,,,,,Nambikkai TV,https://www.lyngsat.com/tvchannels/in/Nambikkai-TV.html,False,Doordarshan
3954 VC,DVB-S28PSK115722/3,2.0,Nambikkai TV,,MPEG-4/SD,201.0,202,,,DVB-S2,11572.0,2/3,3954 V,,,,,Nambikkai TV,https://www.lyngsat.com/tvchannels/in/Nambikkai-TV.html,False,Doordarshan
3954 VC,DVB-S28PSK115722/3,3.0,Shalini TV,,MPEG-4/SD,301.0,302 Tam,,,DVB-S2,11572.0,2/3,3954 V,,,,,Shalini TV,https://www.lyngsat.com/tvchannels/in/Shalini-TV.html,False,Doordarshan
3954 VC,DVB-S28PSK115722/3,3.0,Shalini TV,,MPEG-4/SD,301.0,302 Tam,,,DVB-S2,11572.0,2/3,3954 V,,,,,Shalini TV,https://www.lyngsat.com/tvchannels/in/Shalini-TV.html,False,Doordarshan
3954 VC,DVB-S28PSK115722/3,4.0,Imayam TV,,MPEG-4/SD,401.0,402 Tam,,,DVB-S2,11572.0,2/3,3954 V,,,,,Imayam TV,https://www.lyngsat.com/tvchannels/in/Imayam-TV.html,False,Doordarshan
3954 VC,DVB-S28PSK115722/3,5.0,Ayush TV,,MPEG-4/SD,501.0,502,,,DVB-S2,11572.0,2/3,3954 V,,,,,Ayush TV,https://www.lyngsat.com/tvchannels/in/Ayush-TV.html,False,Doordarshan
3954 VC,DVB-S28PSK115722/3,5.0,Ayush TV,,MPEG-4/SD,501.0,502,,,DVB-S2,11572.0,2/3,3954 V,,,,,Ayush TV,https://www.lyngsat.com/tvchannels/in/Ayush-TV.html,False,Doordarshan
3954 VC,DVB-S28PSK115722/3,6.0,NKR TV,,MPEG-4/SD,601.0,602 Kan,,,DVB-S2,11572.0,2/3,3954 V,,,,,NKR TV,https://www.lyngsat.com/tvchannels/in/NKR-TV.html,False,Doordarshan
3954 VC,DVB-S28PSK115722/3,7.0,MK TV (India),,MPEG-4/SD,701.0,702 Tam,,,DVB-S2,11572.0,2/3,3954 V,,,,,MK TV (India),https://www.lyngsat.com/tvchannels/in/MK-TV.html,False,Doordarshan
3954 VC,DVB-S28PSK115722/3,8.0,MK Tunes,,MPEG-4/SD,801.0,802,,,DVB-S2,11572.0,2/3,3954 V,,,,,MK Tunes,https://www.lyngsat.com/tvchannels/in/MK-Tunes.html,False,Doordarshan
3954 VC,DVB-S28PSK115722/3,9.0,MK Six,,MPEG-4/SD,901.0,902,,,DVB-S2,11572.0,2/3,3954 V,,,,,MK Six,https://www.lyngsat.com/tvchannels/in/MK-Six.html,False,Doordarshan
4073 VC,DVB-S28PSK96003/4,1.0,Tarang TV,,MPEG-4/SD,102.0,103 Ori,Irdeto,,DVB-S2,9600.0,3/4,4073 V,,,Irdeto,,Tarang TV,https://www.lyngsat.com/tvchannels/in/Tarang-TV.html,False,Doordarshan
