Provider/Channel,Sattelite_Name,freq_alt,Languages
NHK World Japan Radio,Intelsat-19,4146 H,
NHK World Japan Radio,Intelsat-19,4146 H,
RNZ Pacific,Intelsat-19,4146 V,Eng
531 Pi,Intelsat-19,4146 V,Eng
BBC World Service English Americas,Intelsat-19,4161 V,Eng
BBC World Service English East Asia,Intelsat-19,4161 V,Eng
BBC World Service English South Asia,Intelsat-19,4161 V,Eng
BBC World Service English Australasia,Intelsat-19,4161 V,Eng
BBC World Service English News,Intelsat-19,4161 V,Eng
BBC World Service English News,Intelsat-19,4161 V,Eng
BBC World Service English News,Intelsat-19,4161 V,Eng
BBC World Service Arabic,Intelsat-19,4161 V,Ara
Arirang World,Intelsat-19,4174 V,Eng
(A2Z Channel 11 feeds),Intelsat-19,4180 H,
(A2Z Channel 11 feeds),Intelsat-19,4180 H,
ANC Global,Intelsat-19,4180 H,Eng
TFC Asia-Pacific,Intelsat-19,4180 H,Tgl
Cinema One Global,Intelsat-19,4180 H,Tgl
Myx USA,Intelsat-19,4180 H,Eng
Myx USA,Intelsat-19,4180 H,Eng
Cine Mo! Global,Intelsat-19,4180 H,Tgl
MOR Philippines,Intelsat-19,4180 H,Tgl
MOR Philippines,Intelsat-19,4180 H,Tgl
DWPM Radyo 630,Intelsat-19,4180 H,Tgl
(TVNZ feeds),Intelsat-19,12432 H,
(Channel Nine feeds),Intelsat-19,12550 V,
Channel Nine Melbourne,Intelsat-19,12569 V,Eng
Channel Nine Melbourne,Intelsat-19,12569 V,Eng
9 Go!,Intelsat-19,12569 V,Eng
9 Go!,Intelsat-19,12569 V,Eng
9 Go!,Intelsat-19,12569 V,Eng
9 Go!,Intelsat-19,12569 V,Eng
9 Life,Intelsat-19,12569 V,Eng
9 Life,Intelsat-19,12569 V,Eng
9 Life,Intelsat-19,12569 V,Eng
9 Life,Intelsat-19,12569 V,Eng
9 GEM Melbourne,Intelsat-19,12569 V,Eng
9 GEM Melbourne,Intelsat-19,12569 V,Eng
9 Rush Melbourne,Intelsat-19,12569 V,Eng
Channel Nine Brisbane,Intelsat-19,12569 V,Eng
Channel Nine Brisbane,Intelsat-19,12569 V,Eng
9 GEM Brisbane,Intelsat-19,12569 V,Eng
9 GEM Brisbane,Intelsat-19,12569 V,Eng
9 Rush Brisbane,Intelsat-19,12569 V,Eng
Channel Nine Adelaide,Intelsat-19,12569 V,Eng
Channel Nine Adelaide,Intelsat-19,12569 V,Eng
9 GEM Adelaide,Intelsat-19,12569 V,Eng
9 Rush Adelaide,Intelsat-19,12569 V,Eng
Channel Nine Perth,Intelsat-19,12569 V,Eng
Channel Nine Perth,Intelsat-19,12569 V,Eng
9 GEM Perth,Intelsat-19,12569 V,Eng
9 GEM Perth,Intelsat-19,12569 V,Eng
9 Rush Perth,Intelsat-19,12569 V,Eng
EXRN Radio Network 1,Intelsat-19,12590 H,Eng
EXRN Radio Network 2,Intelsat-19,12590 H,Eng
Mega TV,Intelsat-19,12606 H,Gre
Open Beyond TV,Intelsat-19,12606 H,Gre
Star Channel (Greece),Intelsat-19,12606 H,Gre
Alpha TV,Intelsat-19,12606 H,Gre
Action 24,Intelsat-19,12606 H,Gre
Attica TV,Intelsat-19,12606 H,Gre
One Channel,Intelsat-19,12606 H,Gre
Kanal 7 Avrupa,Intelsat-19,12606 H,Tur
Dream Türk,Intelsat-19,12606 H,Tur
Show Turk,Intelsat-19,12606 H,Tur
ATV Avrupa,Intelsat-19,12606 H,Tur
Habertürk,Intelsat-19,12606 H,Tur
TRT 1,Intelsat-19,12606 H,Tur
Euro D,Intelsat-19,12606 H,Tur
Kanal 5 (North Macedonia),Intelsat-19,12606 H,Mac
Sitel TV,Intelsat-19,12606 H,Mac
Arena Sport 1 (Serbia),Intelsat-19,12606 H,Srp
Pink Premium,Intelsat-19,12606 H,Srp
Mis TV,Intelsat-19,12606 H,Srp
Prva Srpska TV,Intelsat-19,12606 H,Srp
Canal 24 Horas,Intelsat-19,12606 H,Spa
TVE Internacional Asia,Intelsat-19,12606 H,Spa
RTP Internacional Ásia,Intelsat-19,12606 H,Por
Ant1 Pacific,Intelsat-19,12606 H,Gre
Rai Italia Australia,Intelsat-19,12606 H,Ita
Alkarma TV Middle East,Intelsat-19,12606 H,Ara
Oman TV,Intelsat-19,12606 H,Ara
Al-Fady TV,Intelsat-19,12606 H,Ara
ERI TV 1,Intelsat-19,12606 H,
KTV 1 (Kuwait),Intelsat-19,12606 H,Ara
SSBC TV,Intelsat-19,12606 H,Ara
TRT Türk,Intelsat-19,12606 H,Tur
Daystar TV,Intelsat-19,12606 H,Eng
SBN International,Intelsat-19,12606 H,Eng
The Kingdom Sat,Intelsat-19,12606 H,Ara
3ABN International,Intelsat-19,12606 H,Eng
Angel TV Australia,Intelsat-19,12606 H,Tam
Supreme Master TV,Intelsat-19,12606 H,Eng
K Mart Radio 1,Intelsat-19,12606 H,Eng
