Provider/Channel,Sattelite_Name,freq_alt,beam_alt,sr_alt,fec_alt,Compression,eirp_alt
CNBC Asia-Pacific,Intelsat-19,4060 H,tp WH18C,30000.0,3/4,MPEG-4/SD,0.0
CNBC Australia,Intelsat-19,4060 H,tp WH18C,30000.0,3/4,MPEG-4/SD,0.0
Dog TV,Intelsat-19,4060 H,tp WH18C,30000.0,3/4,MPEG-4/HD,0.0
Voice of America,Intelsat-19,4060 H,tp WH18C,30000.0,3/4,,0.0
VoA Djibouti MW,Intelsat-19,4060 H,tp WH18C,30000.0,3/4,,0.0
VoA Urdu,Intelsat-19,4060 H,tp WH18C,30000.0,3/4,,0.0
VoA 1,Intelsat-19,4060 H,tp WH18C,30000.0,3/4,,0.0
VoA East Timor,Intelsat-19,4060 H,tp WH18C,30000.0,3/4,,0.0
EWTN Radio,Intelsat-19,4060 H,tp WH18C,30000.0,3/4,,0.0
Radio Free Asia,Intelsat-19,4060 H,tp WH18C,30000.0,3/4,,0.0
VoA Tibetan,Intelsat-19,4060 H,tp WH18C,30000.0,3/4,,0.0
VoA Madagascar,Intelsat-19,4060 H,tp WH18C,30000.0,3/4,,0.0
VoA Mongolia,Intelsat-19,4060 H,tp WH18C,30000.0,3/4,,0.0
Angel 5,Intelsat-19,4060 H,tp WH18C,30000.0,3/4,,0.0
Palau FM,Intelsat-19,4060 H,tp WH18C,30000.0,3/4,,0.0
VoA Djibouti FM,Intelsat-19,4060 H,tp WH18C,30000.0,3/4,,0.0
Deewa Radio,Intelsat-19,4060 H,tp WH18C,30000.0,3/4,,0.0
Radio Farda,Intelsat-19,4060 H,tp WH18C,30000.0,3/4,,0.0
Radio Free Ashna,Intelsat-19,4060 H,tp WH18C,30000.0,3/4,,0.0
Discovery Channel Japan,Intelsat-19,4080 V,tp WH19C,30000.0,3/4,MPEG-4/HD,0.0
Animal Planet Japan,Intelsat-19,4080 V,tp WH19C,30000.0,3/4,MPEG-4/HD,0.0
Asian Food Network,Intelsat-19,4080 V,tp WH19C,30000.0,3/4,MPEG-4/HD,0.0
Food Network Asia,Intelsat-19,4080 V,tp WH19C,30000.0,3/4,MPEG-4/HD,0.0
Travel Channel Asia,Intelsat-19,4080 V,tp WH19C,30000.0,3/4,MPEG-4/HD,0.0
HGTV Asia,Intelsat-19,4080 V,tp WH19C,30000.0,3/4,MPEG-4/HD,0.0
Investigation Discovery New Zealand,Intelsat-19,4080 V,tp WH19C,30000.0,3/4,MPEG-4/HD,0.0
KBS World,Intelsat-19,4128 V,tp WH21C,5185.0,3/4,100-1MPEG-4/HD,0.0
YTN World,Intelsat-19,4133 V,tp WH21C,2962.0,3/4,?-?MPEG-2/SD,0.0
NHK World Japan,Intelsat-19,4146 H,tp WH22C,19910.0,1/2,MPEG-4/HD,0.0
NHK World Premium,Intelsat-19,4146 H,tp WH22C,19910.0,1/2,MPEG-4/HD,0.0
NHK World Japan Radio,Intelsat-19,4146 H,tp WH22C,19910.0,1/2,,0.0
RNZ Pacific,Intelsat-19,4146 V,tp WH23C,8400.0,3/5,,0.0
531 Pi,Intelsat-19,4146 V,tp WH23C,8400.0,3/5,,0.0
BBC World Service English Americas,Intelsat-19,4161 V,tp WH23C,3448.0,3/5,,0.0
BBC World Service English East Asia,Intelsat-19,4161 V,tp WH23C,3448.0,3/5,,0.0
BBC World Service English South Asia,Intelsat-19,4161 V,tp WH23C,3448.0,3/5,,0.0
BBC World Service English Australasia,Intelsat-19,4161 V,tp WH23C,3448.0,3/5,,0.0
BBC World Service English News,Intelsat-19,4161 V,tp WH23C,3448.0,3/5,,0.0
BBC World Service Arabic,Intelsat-19,4161 V,tp WH23C,3448.0,3/5,,0.0
Arirang World,Intelsat-19,4174 V,tp WH23C,4400.0,3/4,MPEG-2/SD,0.0
(A2Z Channel 11 feeds),Intelsat-19,4180 H,tp WH24C,30000.0,2/3,,0.0
ANC Global,Intelsat-19,4180 H,tp WH24C,30000.0,2/3,MPEG-4/HD,0.0
TFC Asia-Pacific,Intelsat-19,4180 H,tp WH24C,30000.0,2/3,MPEG-4/HD,0.0
Cinema One Global,Intelsat-19,4180 H,tp WH24C,30000.0,2/3,MPEG-4/HD,0.0
Myx USA,Intelsat-19,4180 H,tp WH24C,30000.0,2/3,MPEG-4/HD,0.0
Cine Mo! Global,Intelsat-19,4180 H,tp WH24C,30000.0,2/3,MPEG-4/HD,0.0
MOR Philippines,Intelsat-19,4180 H,tp WH24C,30000.0,2/3,,0.0
DWPM Radyo 630,Intelsat-19,4180 H,tp WH24C,30000.0,2/3,,0.0
