SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,Languages,Channel_Country,Provider_Country
7793.0,BogBlag TV,MPEG-2/SD,7203.0,DVB-S2,22000.0,3/4,12028 H,tp 18,0.0,,,BogBlag TV,https://www.lyngsat.com/tvchannels/us/BogBlag-TV.html,False,STN,Rus,us,
7794.0,Victory Channel (USA),MPEG-2/SD,7204.0,DVB-S2,22000.0,3/4,12028 H,tp 18,0.0,,,Victory Channel (USA),https://www.lyngsat.com/tvchannels/us/Victory-Channel.html,False,STN,Eng,us,
7794.0,Victory Channel (USA),MPEG-2/SD,7204.0,DVB-S2,22000.0,3/4,12028 H,tp 18,0.0,,,Victory Channel (USA),https://www.lyngsat.com/tvchannels/us/Victory-Channel.html,False,STN,Eng,us,
7796.0,Silk Way,MPEG-2/SD,7206.0,DVB-S2,22000.0,3/4,12028 H,tp 18,0.0,,,Silk Way,https://www.lyngsat.com/tvchannels/kz/Silk-Way.html,False,STN,Kaz,kz,
7796.0,Silk Way,MPEG-2/SD,7206.0,DVB-S2,22000.0,3/4,12028 H,tp 18,0.0,,,Silk Way,https://www.lyngsat.com/tvchannels/kz/Silk-Way.html,False,STN,Kaz,kz,
7797.0,Kentron TV International,MPEG-2/SD,7207.0,DVB-S2,22000.0,3/4,12028 H,tp 18,0.0,,,Kentron TV International,https://www.lyngsat.com/tvchannels/am/Kentron-TV-International.html,False,STN,Arm,am,
7801.0,TV TRWAM,MPEG-4/HD,7841.0,DVB-S2,22000.0,3/4,12028 H,tp 18,0.0,,,TV TRWAM,https://www.lyngsat.com/tvchannels/pl/TV-TRWAM.html,False,STN,Pol,pl,
7801.0,TV TRWAM,MPEG-4/HD,7841.0,DVB-S2,22000.0,3/4,12028 H,tp 18,0.0,,,TV TRWAM,https://www.lyngsat.com/tvchannels/pl/TV-TRWAM.html,False,STN,Pol,pl,
7806.0,Angel TV America,MPEG-4/HD,7846.0,DVB-S2,22000.0,3/4,12028 H,tp 18,0.0,,,Angel TV America,https://www.lyngsat.com/tvchannels/in/Angel-TV-America.html,False,STN,Tam,in,
7806.0,Angel TV America,MPEG-4/HD,7846.0,DVB-S2,22000.0,3/4,12028 H,tp 18,0.0,,,Angel TV America,https://www.lyngsat.com/tvchannels/in/Angel-TV-America.html,False,STN,Tam,in,
7807.0,AssyriaSat,MPEG-2/SD,7847.0,DVB-S2,22000.0,3/4,12028 H,tp 18,0.0,,,AssyriaSat,https://www.lyngsat.com/tvchannels/us/AssyriaSat.html,False,STN,Syr,us,
7807.0,AssyriaSat,MPEG-2/SD,7847.0,DVB-S2,22000.0,3/4,12028 H,tp 18,0.0,,,AssyriaSat,https://www.lyngsat.com/tvchannels/us/AssyriaSat.html,False,STN,Syr,us,
7810.0,Rûdaw,MPEG-2/SD,7850.0,DVB-S2,22000.0,3/4,12028 H,tp 18,0.0,,,Rûdaw,https://www.lyngsat.com/tvchannels/iq/Rudaw.html,False,STN,Kur,iq,
7810.0,Rûdaw,MPEG-2/SD,7850.0,DVB-S2,22000.0,3/4,12028 H,tp 18,0.0,,,Rûdaw,https://www.lyngsat.com/tvchannels/iq/Rudaw.html,False,STN,Kur,iq,
7813.0,CTN (USA),MPEG-4/HD,7853.0,DVB-S2,22000.0,3/4,12028 H,tp 18,0.0,,,CTN (USA),https://www.lyngsat.com/tvchannels/us/CTN.html,False,STN,Eng,us,
