SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,Languages,Channel_Country,Provider_Country
135.0,Nb TV,MPEG-4/SD,1108.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,Nb TV,https://www.lyngsat.com/tvchannels/ke/Nb-TV.html,False,StarTimes TV Kenya,Eng,ke,
136.0,Prophetic TV (Kenya),MPEG-4/SD,1152.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,Prophetic TV (Kenya),https://www.lyngsat.com/tvchannels/ke/Prophetic-TV.html,False,StarTimes TV Kenya,Eng,ke,
139.0,World Evangelism TV,MPEG-4/SD,1139.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,World Evangelism TV,https://www.lyngsat.com/tvchannels/ke/World-Evangelism-TV.html,False,StarTimes TV Kenya,Eng,ke,
139.0,World Evangelism TV,MPEG-4/SD,1139.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,World Evangelism TV,https://www.lyngsat.com/tvchannels/ke/World-Evangelism-TV.html,False,StarTimes TV Kenya,Eng,ke,
141.0,Mzalendo TV,MPEG-4/SD,1144.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,Mzalendo TV,https://www.lyngsat.com/tvchannels/ke/Mzalendo-TV.html,False,StarTimes TV Kenya,,ke,
143.0,StarTimes TV Guide Kenya,MPEG-4/SD,1143.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,StarTimes TV Guide Kenya,https://www.lyngsat.com/tvchannels/cn/StarTimes-TV-Guide-Kenya.html,False,StarTimes TV Kenya,Eng,cn,
144.0,Urejesho TV,MPEG-4/SD,2144.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,Urejesho TV,https://www.lyngsat.com/tvchannels/tz/Urejesho-TV.html,False,StarTimes TV Kenya,Swa,tz,
145.0,Tinker TV,MPEG-4/SD,1145.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,Tinker TV,https://www.lyngsat.com/tvchannels/ke/Tinker-TV.html,False,StarTimes TV Kenya,Eng,ke,
195.0,Morning Cloud TV,MPEG-4/SD,1115.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,Morning Cloud TV,https://www.lyngsat.com/tvchannels/ke/Morning-Cloud-TV.html,False,StarTimes TV Kenya,Eng,ke,
1.0,Morning Cloud TV,0-0MPEG-4/HD,2101.0,DVB-S2,4142.0,1/2,4028 R,,42-43,,,Morning Cloud TV,https://www.lyngsat.com/tvchannels/ke/Morning-Cloud-TV.html,False,StarTimes TV Kenya,Eng,ke,
196.0,Voice of Victory TV,MPEG-4/SD,2498.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,Voice of Victory TV,https://www.lyngsat.com/tvchannels/ke/Voice-of-Victory-TV.html,False,StarTimes TV Kenya,Eng,ke,
580.0,KTN News (Kenya),MPEG-4/SD,1423.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,KTN News (Kenya),https://www.lyngsat.com/tvchannels/ke/KTN-News.html,False,StarTimes TV Kenya,Eng,ke,
630.0,Dunny TV,MPEG-4/SD,1630.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,Dunny TV,https://www.lyngsat.com/tvchannels/ke/Dunny-TV.html,False,StarTimes TV Kenya,Eng,ke,
632.0,Empire TV promo,MPEG-4/SD,1632.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,,,False,StarTimes TV Kenya,Eng,,
633.0,GN TV promo,MPEG-4/SD,1633.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,,,False,StarTimes TV Kenya,Eng,,
634.0,Gichichio TV,MPEG-4/SD,1634.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,Gichichio TV,https://www.lyngsat.com/tvchannels/ke/Gichichio-TV.html,False,StarTimes TV Kenya,Eng,ke,
637.0,Alive TV promo,MPEG-4/SD,1637.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,,,False,StarTimes TV Kenya,Eng,,
999.0,Kass TV,MPEG-4/SD,1302.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,Kass TV,https://www.lyngsat.com/tvchannels/ke/Kass-TV.html,False,StarTimes TV Kenya,Eng,ke,
125.0,Kameme FM,,,DVB-S2,20150.0,5/6,3898 R,,42-43,,,Kameme FM,https://www.lyngsat.com/radiochannels/ke/Kameme-FM.html,False,StarTimes TV Kenya,,ke,
126.0,Milele FM,,,DVB-S2,20150.0,5/6,3898 R,,42-43,,,Milele FM,https://www.lyngsat.com/radiochannels/ke/Milele-FM.html,False,StarTimes TV Kenya,,ke,
127.0,Emoo FM,,,DVB-S2,20150.0,5/6,3898 R,,42-43,,,Emoo FM,https://www.lyngsat.com/radiochannels/ke/Emoo-FM.html,False,StarTimes TV Kenya,,ke,
128.0,Mayian FM,,,DVB-S2,20150.0,5/6,3898 R,,42-43,,,Mayian FM,https://www.lyngsat.com/radiochannels/ke/Mayian-FM.html,False,StarTimes TV Kenya,,ke,
129.0,Meru FM,,,DVB-S2,20150.0,5/6,3898 R,,42-43,,,Meru FM,https://www.lyngsat.com/radiochannels/ke/Meru-FM.html,False,StarTimes TV Kenya,,ke,
130.0,Osiepe FM,,,DVB-S2,20150.0,5/6,3898 R,,42-43,,,Osiepe FM,https://www.lyngsat.com/radiochannels/ke/Osiepe-FM.html,False,StarTimes TV Kenya,,ke,
131.0,Msenangu FM,,,DVB-S2,20150.0,5/6,3898 R,,42-43,,,Msenangu FM,https://www.lyngsat.com/radiochannels/ke/Msenangu-FM.html,False,StarTimes TV Kenya,,ke,
581.0,Radio Maisha,,,DVB-S2,20150.0,5/6,3898 R,,42-43,,,Radio Maisha,https://www.lyngsat.com/radiochannels/ke/Radio-Maisha.html,False,StarTimes TV Kenya,,ke,
581.0,Radio Maisha,,,DVB-S2,20150.0,5/6,3898 R,,42-43,,,Radio Maisha,https://www.lyngsat.com/radiochannels/ke/Radio-Maisha.html,False,StarTimes TV Kenya,,ke,
,Congo-Kinshasa mux,,,DVB-S2,3600.0,3/4,3912 R,,42-43,BISS 1,,,,False,StarTimes TV Kenya,,,
1.0,Antenne A TV,MPEG-4/SD,36.0,DVB-S2,3600.0,3/4,3912 R,,42-43,BISS 1,,Antenne A TV,https://www.lyngsat.com/tvchannels/cd/Antenne-A-TV.html,False,StarTimes TV Kenya,Fre,cd,
2.0,Cinarc TV,MPEG-4/SD,5442.0,DVB-S2,3600.0,3/4,3912 R,,42-43,BISS 1,,Cinarc TV,https://www.lyngsat.com/tvchannels/cd/Cinarc-TV.html,False,StarTimes TV Kenya,Fre,cd,
3.0,RTNC,MPEG-4/SD,40.0,DVB-S2,3600.0,3/4,3912 R,,42-43,BISS 1,,RTNC,https://www.lyngsat.com/tvchannels/cd/RTNC.html,False,StarTimes TV Kenya,Fre,cd,
4.0,B-One TV,MPEG-4/SD,34.0,DVB-S2,3600.0,3/4,3912 R,,42-43,BISS 1,,B-One TV,https://www.lyngsat.com/tvchannels/cd/B-One-TV.html,False,StarTimes TV Kenya,Fre,cd,
6.0,Télé 7,MPEG-4/SD,42.0,DVB-S2,3600.0,3/4,3912 R,,42-43,,,Télé 7,https://www.lyngsat.com/tvchannels/cd/Tele-7.html,False,StarTimes TV Kenya,Fre,cd,
7.0,Moliere TV,MPEG-4/SD,44.0,DVB-S2,3600.0,3/4,3912 R,,42-43,BISS 1,,Moliere TV,https://www.lyngsat.com/tvchannels/cd/Moliere-TV.html,False,StarTimes TV Kenya,Fre,cd,
8.0,Télé 50,MPEG-4/SD,290.0,DVB-S2,3600.0,3/4,3912 R,,42-43,BISS 1,,Télé 50,https://www.lyngsat.com/tvchannels/cd/Tele-50.html,False,StarTimes TV Kenya,Fre,cd,
,New World TV,1-1,,DVB-S2,6480.0,3/4,3918 R,,42-43,,https://www.lyngsat.com/providers/tg/New-World-TV.html,,,True,New World TV,,,tg
1.0,[test card],MPEG-4/SD,544.0,DVB-S2,6480.0,3/4,3918 R,,42-43,,,,,False,New World TV,,,
2.0,[test card],MPEG-4/SD,511.0,DVB-S2,6480.0,3/4,3918 R,,42-43,,,,,False,New World TV,,,
9.0,[test card],MPEG-4/SD,531.0,DVB-S2,6480.0,3/4,3918 R,,42-43,,,,,False,New World TV,,,
3.0,NW Magazine,MPEG-4/SD,546.0,DVB-S2,6480.0,3/4,3918 R,,42-43,,,NW Magazine,https://www.lyngsat.com/tvchannels/tg/NW-Magazine.html,False,New World TV,Fre,tg,
4.0,NW Info Français,MPEG-4/SD,547.0,DVB-S2,6480.0,3/4,3918 R,,42-43,,,NW Info Français,https://www.lyngsat.com/tvchannels/tg/NW-Info-Francais.html,False,New World TV,Fre,tg,
4.0,NW Info Français,MPEG-4/SD,547.0,DVB-S2,6480.0,3/4,3918 R,,42-43,,,NW Info Français,https://www.lyngsat.com/tvchannels/tg/NW-Info-Francais.html,False,New World TV,Fre,tg,
5.0,NW Cinema,MPEG-4/SD,548.0,DVB-S2,6480.0,3/4,3918 R,,42-43,,,NW Cinema,https://www.lyngsat.com/tvchannels/tg/NW-Cinema.html,False,New World TV,Fre,tg,
7.0,NW Transnat,MPEG-4/SD,513.0,DVB-S2,6480.0,3/4,3918 R,,42-43,,,NW Transnat,https://www.lyngsat.com/tvchannels/tg/NW-Transnat.html,False,New World TV,Fre,tg,
1.0,AIT Partners,8192-4096MPEG-4/SD,512.0,DVB-S2,2080.0,3/5,3943 R,,42-43,,,,,False,New World TV,Eng,,
2.0,Ray Power FM,,,DVB-S2,2080.0,3/5,3943 R,,42-43,,,Ray Power FM,https://www.lyngsat.com/radiochannels/ng/Ray-Power-FM.html,False,New World TV,Eng,ng,
3.0,Ray Power FM Abuja,,,DVB-S2,2080.0,3/5,3943 R,,42-43,,,Ray Power FM Abuja,https://www.lyngsat.com/radiochannels/ng/Ray-Power-FM-Abuja.html,False,New World TV,Eng,ng,
3.0,Ray Power FM Abuja,,,DVB-S2,2080.0,3/5,3943 R,,42-43,,,Ray Power FM Abuja,https://www.lyngsat.com/radiochannels/ng/Ray-Power-FM-Abuja.html,False,New World TV,Eng,ng,
3.0,Ray Power FM Abuja,,,DVB-S2,2080.0,3/5,3943 R,,42-43,,,Ray Power FM Abuja,https://www.lyngsat.com/radiochannels/ng/Ray-Power-FM-Abuja.html,False,New World TV,Eng,ng,
3.0,Ray Power FM Abuja,,,DVB-S2,2080.0,3/5,3943 R,,42-43,,,Ray Power FM Abuja,https://www.lyngsat.com/radiochannels/ng/Ray-Power-FM-Abuja.html,False,New World TV,Eng,ng,
